																		
Tissue  		Hydrogen	Carbon	Nitrogen	Oxygen	Sodium	Magnesium	Silicon	Phosphor	Sulfur	Chlorine	Argon	Potassium	Calcium 	Scandium	Iron 	Zinc	Iodine
 	Maximum	0.634223278	0.089034286	0.016072971	0.298104	0.00027261	0.000051		0.000404681	0.000976	0.000176776		0.000641178	0.000005		0.000005	0.000005	
Nerve	0	0.637920219	0.097978005	0.010826781	0.250606855	0.000527704			0.00078336	0.00037835	0.000513291		0.000465434					
 	0	0	0	0	0	0			0	0	0		0					
 	0	0.637920219	0.097978005	0.010826781	0.250606855	0.000527704			0.00078336	0.00037835	0.000513291		0.000465434					
 	0	0.637920219	0.097978005	0.010826781	0.250606855	0.000527704			0.00078336	0.00037835	0.000513291		0.000465434					
Ovary	Average	0.643230032	0.047810918	0.010580018	0.296393943	0.000537082			0.000398851	0.000385066	0.000348164		0.000315926					
 	Standard Deviation 	4.49E-08	1.15E-07	2.52E-08	8.12E-08	1.16E-07			2.11E-07	9.39E-08	2.32E-07		1.05E-07					
 	Minimum	0.64323	0.047810837	0.01058	0.296393885	0.000537			0.000398701	0.000385	0.000348		0.000315852					
 	Maximum	0.643230064	0.047811	0.010580036	0.296394	0.000537164			0.000399	0.000385133	0.000348328		0.000316					
Pancreas	Average	0.639404248	0.085550533	0.009549732	0.263730347	0.000528932			0.000392591	0.000189615	0.00034299		0.000311012					
 	Standard Deviation 	0	0.1416159	0	0	0			0	0	0		0					
 	Minimum	0.639404248	0.085550533	0.009549732	0.263730347	0.000528932			0.000392591	0.000189615	0.00034299		0.000311012					
 	Maximum	0.639404248	0.085550533	0.009549732	0.263730347	0.000528932			0.000392591	0.000189615	0.00034299		0.000311012					
Pineal Body	Average	0.638600738	0.061321024	0.01060489	0.288192937	0.000538426			0.000199819	0.000193019	0.000349147							
 	Standard Deviation 	0	0	0	0	0			0	0	0							
 	Minimum	0.638600738	0.061321024	0.01060489	0.288192937	0.000538426			0.000199819	0.000193019	0.000349147							
 	Maximum	0.638600738	0.061321024	0.01060489	0.288192937	0.000538426			0.000199819	0.000193019	0.000349147							
